team1,team2,toss_winner,venue,winner
CSK,MI,CSK,Chennai,CSK
MI,KKR,MI,Mumbai,MI
KKR,RCB,KKR,Kolkata,KKR
RCB,RR,RCB,Bengaluru,RCB
RR,GT,RR,Jaipur,RR
GT,SRH,GT,Ahmedabad,GT
SRH,LSG,SRH,Hyderabad,SRH
LSG,DC,LSG,Lucknow,LSG
DC,PBKS,DC,Delhi,DC
PBKS,CSK,PBKS,Mohali,PBKS

RR,CSK,RR,Guwahati,RR
PBKS,MI,PBKS,Dharamsala,PBKS
RCB,KKR,RCB,Raipur,RCB

MI,GT,MI,Mumbai,MI
CSK,LSG,CSK,Chennai,CSK
KKR,SRH,KKR,Kolkata,KKR
RR,DC,RR,Jaipur,RR
GT,PBKS,GT,Ahmedabad,GT
LSG,RCB,LSG,Lucknow,LSG
DC,MI,DC,Delhi,DC
SRH,RR,SRH,Hyderabad,SRH

CSK,KKR,CSK,Chennai,CSK
MI,RCB,MI,Mumbai,MI
GT,DC,GT,Ahmedabad,GT
RR,PBKS,RR,Jaipur,RR
LSG,SRH,LSG,Lucknow,LSG
